我是大三阳，什么时候可以变成小三阳？	这个和机体的免疫系统与病毒的相互作用有关，是没有办法的预测的
我是乙肝病毒携带者，可以喝酒吗？	无论是携带者、肝炎患者还是正常人，都应该尽量避免酒精的摄入，酒精已经被WHO定位一级致癌物。当然，乙肝患者更应当避免酒精的摄入。
我这次体检结果正常，应当什么时候复查呢？	半年复查一次即可
乙肝患者复查时应当检查哪些项目呢？	甲胎蛋白、B超、乙肝五项、HBV DNA、肝弹
甲胎蛋白高我是不是得了肝癌了？	一般来讲，肝癌患者的甲胎蛋白会升高，但是甲胎蛋白的升高并不代表就一定有肝癌。疾病的诊断还需要其他检查结果综合判断。
我吃药久了，怎么病毒仍可以检测到?	从服用抗病毒药开始，到病毒阴性是一个漫长的过程，一般口服抗病毒药的疗程是4年起，有些患者甚至需要终身服药。只要您的病毒在下降，肝功正在或已经恢复正常，基本可以判定药效良好，继续服药即可。
我吃药久了，怎么表面抗原仍可以检测到？	从服用抗病毒药开始，到病毒表面抗原阴性是一个漫长的过程，一般口服抗病毒药的疗程是4年起，有些患者甚至终身表面抗原不能达到阴性。只要您的病毒在下降，肝功正在或已经恢复正常，基本可以判定药效良好，继续服药即可。
乙肝病人可以吃辣吗？	可以的。注意不要伤着胃哦~
我B超显示有肝上血管瘤，需要治疗吗？	血管瘤只有大于5cm才需要治疗的
我B超显示肝上有囊肿，需要治疗吗？	肝囊肿只有大于5cm才需要治疗的
老公是乙肝携带者，我想要孩子，该怎么办？	只要您曾经打过疫苗，并成功产生抗体，是可以像正常人一样要宝宝的
我是乙肝携带者现在各项指标都正常，可以吃护肝片之类的保健品吗?	如果您现在各项指标都正常，那么建议您半年后复查。保健品不建议服用，因为所有的药物都经肝脏代谢，可能引起药物性肝损伤。所以不建议随意服用保健品。
我是乙肝携带者，可以做运动吗？	适量运动是对身体非常有益的~
我家里有携带者，如何避免家中的小孩被传染?	只要小朋友出生时打了乙肝疫苗，并成功产生抗体，就不会被传染了
女友有乙肝，我该怎么办？	建议您查一个乙肝五项，看是有否有表面抗原抗体。如果没有，建议补打乙肝疫苗。打疫苗成功产生抗体后，正常相处是完全不会传染的
我看网上有说乙肝用中医治愈的，是真的吗？	目前的乙肝病毒是不能彻底从体内清除的。切不可因治病心急而听信这些谣言
乙肝可以治愈吗？	目前的乙肝病毒是不能彻底从体内清除的。治疗的目的主要是避免乙肝病毒带来的肝炎、肝硬化和肝癌等疾病，提高乙肝病人生活质量，延长患者寿命。
肝硬化有什么症状吗？	肝硬化初期是没有症状的，后期可能有消化道出血等症状。当然，避免不知不觉发展成硬化的最好方法就是定期检查，发现问题及时治疗
我是携带者，我怎么避免硬化呢？	避免不知不觉发展成硬化的最好方法就是定期检查，发现问题及时治疗
我现在怀孕了，应该做什么避免母婴传播？	定期检查肝功和HBV DNA，如果孕28周病毒量高于10的6次方，需要口服替诺福韦酯。宝宝出生后要注射免疫球蛋白和乙肝疫苗
乙肝遗传吗？	乙肝是由乙肝病毒引起的疾病，非遗传病。但是会经母婴传播途径传给宝宝。所以对于乙肝妈妈分娩的宝宝，阻断措施是必须的。
和乙肝病人一起吃饭会不会被传染。	乙肝经血、性和母婴途径传播，吃饭和日常生活不会传播乙肝
